,accepted,date,groupNm,lat,limit,lon,place,title,waiting
40,5,2012-05-26, ,33.592343300000,11.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#6'],0
41,3,2012-05-29, ,33.594348700000,8.0,130.403729100000,ぬーらぼ,['自分で目標たてて、Pythonでなにかやろう'],0
42,2,2012-05-12, ,33.592343300000,11.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#5'],0
43,19,2012-05-15,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 06'],0
44,24,2012-05-19,Python mini Hack-a-thon,35.622307800000,30.0,139.727330300000,フューチャーアーキテクト,['(第19回)Python mini Hack-a-thon'],0
45,9,2012-05-19,TokyoMercurial,35.622307800000,20.0,139.727330300000,フューチャーアーキテクト,['TokyoMercurial#4'],0
46,7,2012-06-18,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #8'],0
47,1,2012-06-09, ,33.592343300000,11.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#7'],0
48,18,2012-06-12,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 07'],0
49,29,2012-06-23,Python mini Hack-a-thon,35.665533400000,30.0,139.735825400000,アリエル・ネットワーク 会議室(黒崎ビル6階),['(第20回)Python mini Hack-a-thon'],0
50,2,2012-07-17, ,33.594348700000,8.0,130.403729100000,nulab,['Pythonチュートリアル読書会#8'],0
51,11,2012-07-26,Python初学者向け読書会＠札幌,43.070978000000,16.0,141.350273400000,札幌エルプラザ,['Python初学者向け読書会＠札幌 #10'],0
52,8,2012-07-03,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #9'],0
53,4,2012-07-03, ,33.594348700000,8.0,130.403729100000,nulab,['Pythonチュートリアル読書会#7'],0
54,21,2012-07-10,エキスパートPythonプログラミング読書会 第二期,35.634436400000,30.0,139.710684200000,オリックス目黒ビル8F バリストライドグループ,['エキスパートPythonプログラミング読書会 第二期 08'],0
55,10,2012-07-12,Python初学者向け読書会＠札幌,43.070375200000,20.0,141.347723600000,札幌カフェ,['Python初学者向け読書会＠札幌 #9'],0
56,17,2012-07-14,Python mini Hack-a-thon,35.665533400000,30.0,139.735825400000,アリエル・ネットワーク 会議室(黒崎ビル6階),['(第21回)Python mini Hack-a-thon'],0
57,1,2012-07-14, ,33.592343300000,8.0,130.399910000000,ノマドクロス天神,['javaでデザインパターンを書いて手を動かそう#8'],0
